country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Poland,westside,Diamant Esports,DIA,East EMEA,2,Anchor,Killjoy,Viper,Sage,39,585,527,162,1.11,1.41,201,15.0,13.5,4.1,Polish,,
Germany,xJini,ALTERNATE aTTaX,ATN,DACH,5,Smoker,Omen,Viper,Brimstone,27,346,374,201,0.92,1.46,180,12.8,13.8,7.4,German,,
Poland,xad,Axolotl,AXL,Italy,8,Entry,Raze,,,3,45,56,14,0.8,1.05,178,15.0,18.6,4.6,Italian,Polish,
Germany,xanarchy,Eintracht Frankfurt,SGE,DACH,3,Recon,Sova,Gekko,Skye,29,412,432,219,0.95,1.46,178,14.2,14.8,7.5,German,,
Italy,xazyy,Axolotl,AXL,Italy,8,Flash,Breach,Omen,Sova,10,102,167,69,0.61,1.02,147,10.2,16.7,6.9,Italian,,
Kuwait,xelouz,Unity Esports,UNT,GCC and Iraq,2,Flash,Breach,KAY/O,Skye,41,618,565,366,1.09,1.74,195,15.0,13.7,8.9,Arabic,,
Russia,xenon,NASR Esports,NASR,Levant and North Africa,3,Smoker,Omen,Viper,Brimstone,33,437,417,238,1.04,1.61,181,13.2,12.6,7.2,Russian,,
Turkey,xeus,HOWL Esports,HOWL,Turkey,2,Entry,Raze,Jett,,34,719,535,128,1.34,1.58,278,21.1,15.7,3.7,Turkish,,
Poland,xiTsha,Diamant Esports,DIA,East EMEA,2,Flash,Omen,Gekko,KAY/O,39,591,562,253,1.05,1.5,200,15.1,14.4,6.4,Polish,,
Portugal,xini,FUZOS,FUZO,Portugal,7,Flex,Killjoy,Iso,Reyna,10,187,174,31,1.07,1.25,222,18.7,17.4,3.1,Portuguese,Mirandese,
France,xms,DVM,DVM,France,8,Lurker,Omen,Killjoy,Viper,5,57,65,23,0.87,1.23,166,11.4,13.0,4.6,French,,
Poland,xuss,MOUZ,MOUZ,DACH,1,Entry,Raze,Yoru,Jett,38,751,581,122,1.29,1.5,248,19.7,15.2,3.2,Polish,,
South Korea,young,Ex0Tik Gaming,EX0,Portugal,3,Entry,Raze,,,6,76,94,28,0.8,1.1,192,12.6,15.6,4.6,Korean,,
Algeria,zMART,Onyx Ravens,OXR,Levant and North Africa,4,Entry,Raze,Jett,,33,607,509,115,1.19,1.41,245,18.3,15.4,3.4,Arabic,French,
Italy,zShoxy,RTZN,RTZN,Italy,7,Entry,Jett,,,1,9,18,2,0.5,0.61,131,9.0,18.0,2.0,Italian,,
Portugal,zePiCzz,Hurricane Of Feathers,HOF,Portugal,6,Recon,Sova,Gekko,,14,212,193,74,1.09,1.48,211,15.1,13.7,5.2,Portuguese,Mirandese,
Belarus,zeddy,KPI Gaming,KPI,EMEA Playins,2,Smoker,Omen,Gekko,Brimstone,10,120,145,81,0.82,1.38,172,12.0,14.5,8.1,Russian,Belarusian,
Poland,zeek,GoNext Esports,GN,East EMEA,1,Recon,Sova,KAY/O,Skye,31,454,397,266,1.14,1.81,211,14.6,12.8,8.5,Polish,,
Germany,zery,XPERION NXT,NXT,DACH,9,Entry,Raze,Jett,Yoru,20,341,354,85,0.96,1.2,223,17.0,17.7,4.2,German,,
