country,ign,team_name_full,shorthand,sub_region,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
Mongolia,Answerz,Team Kobolds,KBLD,Hong Kong and Taiwan,3,Anchor,Killjoy,Cypher,Viper,29,483,469,130,1.02,1.3,213,16.6,16.1,4.4,Mandarin,Khalkha Mongol,
Vietnam,Aozy,Team Flash,FPT,Vietnam,3,Recon,Skye,,,1,13,10,12,1.3,2.5,162,13.0,10.0,12.0,Vietnamese,,
Australia,Art,Koopa Troopas,KTS,Oceania,9,Smoker,Omen,Viper,Brimstone,8,106,102,68,1.03,1.7,175,13.2,12.7,8.5,English,,
Philippines,Aryu,True Rippers Esports,TRS,South Asia,2,Anchor,Killjoy,Cypher,Chamber,18,233,231,71,1.0,1.31,177,12.9,12.8,3.9,Filipino,English,
South Korea,Ash,FearX,FOX,South Korea,8,Entry,Jett,Raze,Neon,17,260,267,62,0.97,1.2,208,15.2,15.7,3.6,Korean,,
Philippines,Astro,Carti World,CW,Philippines,5,Smoker,Omen,Viper,Clove,22,334,327,217,1.02,1.68,196,15.1,14.8,9.8,Filipino,English,
Australia,Avi,Bandits ESC,BNDT,Oceania,12,Flash,KAY/O,Breach,Brimstone,7,66,99,65,0.66,1.32,138,9.4,14.1,9.2,English,,
Taiwan,Awei,ROA,ROA,Hong Kong and Taiwan,5,Anchor,Cypher,Phoenix,Killjoy,17,261,279,84,0.93,1.23,199,15.3,16.4,4.9,Mandarin,,
Taiwan,B1ngXun,Five Ace e-Sports,FA,Hong Kong and Taiwan,4,Anchor,Killjoy,Cypher,Viper,24,324,348,99,0.93,1.21,185,13.5,14.5,4.1,Mandarin,,
United States,BAO,Corn Dawgs,CD,Oceania,15,Flash,KAY/O,Gekko,,2,40,32,15,1.25,1.71,261,20.0,16.0,7.5,English,,
Mongolia,BE,Team Kobolds,KBLD,Hong Kong and Taiwan,3,Recon,Skye,Omen,Sova,29,385,462,191,0.83,1.24,163,13.2,15.9,6.5,Mandarin,Khalkha Mongol,
South Korea,BENECIA,SLT,SLT,South Korea,4,Smoker,Omen,Viper,Brimstone,23,332,348,230,0.95,1.61,193,14.4,15.1,10.0,Korean,,
Vietnam,BMV,Unicorn Cyber,UNC,Vietnam,7,Anchor,Cypher,Killjoy,Breach,13,162,199,63,0.81,1.13,174,12.4,15.3,4.8,Vietnamese,,
Australia,BREW,Tiny Turtle Squad,TTS,Oceania,9,Anchor,Killjoy,Chamber,Brimstone,11,126,160,47,0.78,1.08,168,11.4,14.5,4.2,English,,
Japan,BRIAN,REJECT,RC,Japan,7,Lurker,Omen,Gekko,Yoru,18,245,275,123,0.89,1.33,180,13.6,15.2,6.8,Japanese,,
South Korea,Bangnan,VEC,VEC,South Korea,5,Lurker,Omen,Cypher,Breach,21,296,338,113,0.87,1.21,187,14.0,16.0,5.3,Korean,,
Vietnam,BanhMj,Rapid Lofi,RLF,Vietnam,1,Recon,Killjoy,Sova,Skye,11,138,143,43,0.96,1.26,177,12.5,13.0,3.9,Vietnamese,,
South Korea,BeomJun,FearX,FOX,South Korea,8,Smoker,KAY/O,Harbor,Omen,17,193,277,126,0.69,1.15,161,11.3,16.2,7.4,Korean,,
Indonesia,BerserX,BOOM Esports,BME,Indonesia,1,Anchor,Killjoy,Cypher,,28,395,338,152,1.16,1.61,194,14.1,12.0,5.4,Indonesian,,
New Zealand,BiggieCheese,ARENA Internet Cafe,AIC,Oceania,2,Smoker,KAY/O,Astra,Viper,18,238,268,132,0.88,1.38,187,13.2,14.8,7.3,English,Maori,
Japan,Biju,Murash gaming,MRSH,Japan,4,Smoker,Omen,Brimstone,Viper,22,287,348,159,0.82,1.28,171,13.0,15.8,7.2,Japanese,,
Japan,BlackWiz,VARREL,VL,Japan,5,Smoker,Viper,Omen,Deadlock,20,256,323,130,0.79,1.19,171,12.8,16.1,6.5,Japanese,,
Iran,Blessed,FOCUSGG,FOC,Oceania,3,Flash,Viper,Gekko,KAY/O,19,255,286,156,0.89,1.43,184,13.4,15.0,8.2,English,Persian,
Thailand,BnwGiggs,XERXIA,XIA,Thailand,3,Flash,Breach,KAY/O,Skye,27,327,439,263,0.74,1.34,168,12.1,16.2,9.7,Thai,,
Australia,Bonobo,FOCUSGG,FOC,Oceania,3,Entry,Raze,Jett,Neon,19,288,294,58,0.97,1.17,199,15.1,15.4,3.0,English,,
International,Boyi,Da Feng Gou,DFG,Hong Kong and Taiwan,8,Smoker,Omen,Viper,Brimstone,16,194,258,135,0.75,1.27,161,12.1,16.1,8.4,Mandarin,English,
International,Bubble,Da Feng Gou,DFG,Hong Kong and Taiwan,8,Entry,Jett,,,2,26,34,4,0.76,0.88,182,13.0,17.0,2.0,Mandarin,English,
Indonesia,BudimeisteR,Bigetron Arctic,BTR,Indonesia,4,Smoker,Omen,Viper,,22,317,327,167,0.96,1.48,196,14.4,14.8,7.5,Indonesian,,
South Korea,Bunny,IAM,IAM,South Korea,5,Entry,Raze,Jett,,21,311,330,87,0.94,1.2,200,14.8,15.7,4.1,Korean,,
Thailand,CGRS,Made in Thailand,MITH,Thailand,1,Recon,Sova,Gekko,Cypher,24,343,307,149,1.11,1.6,192,14.2,12.7,6.2,Thai,,
Hong Kong,CHIMEI,Oblivion Force,OF,Hong Kong and Taiwan,1,Recon,Skye,KAY/O,Fade,29,339,389,290,0.87,1.61,168,11.6,13.4,10.0,Mandarin,Cantonese,English
Japan,CLZ,FENNEL,FL,Japan,2,Flash,KAY/O,Breach,Gekko,30,440,434,264,1.01,1.62,191,14.6,14.4,8.8,Japanese,,
South Korea,CabezA,SUPERFECT Esports,SPF,South Korea,7,Lurker,Omen,Killjoy,Raze,16,200,233,90,0.85,1.24,179,12.5,14.5,5.6,Korean,,
Japan,Caedye,Riddle,RID,Japan,1,Entry,Raze,Sova,Gekko,22,384,340,101,1.12,1.42,221,17.4,15.4,4.5,Japanese,,
Taiwan,Cangshu,Five Ace e-Sports,FA,Hong Kong and Taiwan,4,Recon,Neon,KAY/O,Skye,12,159,195,87,0.81,1.26,186,13.2,16.2,7.2,Mandarin,,
Thailand,ChAlalala,Santa Gang,SG,Thailand,5,Anchor,Killjoy,Cypher,Brimstone,17,224,249,73,0.89,1.19,173,13.1,14.6,4.2,Thai,,
Philippines,Chanyboi,Carti World,CW,Philippines,5,Recon,KAY/O,Sova,Fade,22,309,338,228,0.91,1.58,189,14.0,15.3,10.3,Filipino,English,
Croatia,Chax,Koopa Troopas,KTS,Oceania,9,Entry,Jett,Raze,Reyna,8,130,127,24,1.02,1.21,209,16.2,15.8,3.0,English,Croatian,
Philippines,Chaze,Tyrant Esports,TYR,Philippines,9,Recon,Sova,Skye,Gekko,16,201,253,124,0.79,1.28,179,12.5,15.8,7.7,Filipino,English,
Philippines,Chowdy,Tyrant Esports,TYR,Philippines,9,Smoker,Viper,KAY/O,Omen,20,249,330,163,0.75,1.24,172,12.4,16.5,8.1,Filipino,English,
South Korea,Cloudy,SLT,SLT,South Korea,4,Recon,Sova,Gekko,Viper,13,175,206,99,0.84,1.33,170,13.4,15.8,7.6,Korean,,
South Korea,Cloy,Nongshim RedForce,NS,South Korea,2,Smoker,Omen,Astra,Harbor,34,526,481,286,1.09,1.68,202,15.4,14.1,8.4,Korean,,
India,CortezZ,Alternate Realities,AR,South Asia,7,Smoker,Omen,Viper,,6,76,101,27,0.75,1.01,194,12.6,16.8,4.5,Hindi,English,
Australia,Crunchy,BOBO,BOBO,Oceania,5,Recon,KAY/O,Omen,Skye,15,237,209,141,1.13,1.8,213,15.8,13.9,9.4,English,,
Vietnam,Crus,Fancy United Esports,FCY,Vietnam,2,Lurker,Omen,Cypher,,12,178,144,94,1.23,1.88,216,14.8,12.0,7.8,Vietnamese,,
Indonesia,Cud,Alter Ego,AE,Indonesia,2,Anchor,Cypher,Viper,Killjoy,24,363,320,113,1.13,1.48,201,15.1,13.3,4.7,Indonesian,,
Vietnam,D0rf,Team Flash,FPT,Vietnam,3,Flash,Breach,Sova,Killjoy,14,205,160,72,1.28,1.73,204,14.6,11.4,5.1,Vietnamese,,
Thailand,D4rf,XOXO-01,XOXO,Thailand,8,Smoker,Omen,Raze,Brimstone,15,207,256,86,0.8,1.14,206,13.8,17.0,5.7,Thai,,
India,DEATHMAKER,True Rippers Esports,TRS,South Asia,2,Entry,Jett,Raze,Cypher,18,277,254,49,1.09,1.28,220,15.3,14.1,2.7,Hindi,English,
International,DOWNTAIL,Xu Gang,XG,Oceania,12,Entry,Raze,Jett,,7,113,110,21,1.02,1.21,231,16.1,15.7,3.0,English,,
India,DOXZ3RRR,Reckoning Esports,RGE,South Asia,5,Recon,Sova,Omen,,6,81,92,24,0.88,1.14,184,13.5,15.3,4.0,Hindi,English,
Vietnam,DaFt,Rapid Lofi,RLF,Vietnam,1,Entry,Jett,Raze,Gekko,20,330,296,109,1.11,1.48,233,16.5,14.8,5.4,Vietnamese,,
South Korea,Dambi,Sin Prisa Gaming,SPG,South Korea,1,Entry,Raze,Jett,Iso,27,489,421,137,1.16,1.48,252,18.1,15.5,5.0,Korean,,
Australia,Dasani,Koopa Troopas,KTS,Oceania,9,Entry,Breach,Jett,Phoenix,8,120,129,40,0.93,1.24,207,15.0,16.1,5.0,English,,
India,DcRulz,Orangutan,OGS,South Asia,4,Anchor,Killjoy,Cypher,Viper,12,166,154,30,1.07,1.27,205,13.8,12.8,2.5,Hindi,English,
India,Deadly10,Medal Esports,MDL,South Asia,5,Entry,Jett,Raze,,7,109,98,16,1.11,1.27,219,15.5,14.0,2.2,Hindi,English,
Philippines,Denz,Avernus Esports,AVN,Philippines,7,Anchor,Killjoy,Cypher,KAY/O,17,267,235,79,1.13,1.47,225,15.7,13.8,4.6,Filipino,English,
Philippines,Dignified,OLD STINKY CAT,MEOW,Philippines,5,Flash,Skye,Gekko,Breach,17,270,230,135,1.17,1.76,201,15.8,13.5,7.9,Filipino,English,
Singapore,Divine,LaZe,LZE,Malaysia and Singapore,4,Smoker,Omen,Viper,Brimstone,25,374,335,183,1.11,1.66,196,14.9,13.4,7.3,English,Malay,Mandarin
Taiwan,Dizzy,Hungkuang Falcon,HKUF,Hong Kong and Taiwan,7,Smoker,Omen,Gekko,Sova,15,217,247,101,0.87,1.28,193,14.4,16.4,6.7,Mandarin,,
Philippines,DizzyFps,OLD STINKY CAT,MEOW,Philippines,5,Entry,Jett,Gekko,Sova,15,207,228,78,0.9,1.25,191,13.8,15.2,5.2,Filipino,English,
South Korea,Doenmo,IAM,IAM,South Korea,5,Smoker,Viper,Raze,Gekko,21,295,320,122,0.92,1.3,200,14.0,15.2,5.8,Korean,,
Australia,Don,Corn Dawgs,CD,Oceania,15,Recon,Sova,Breach,,2,21,32,18,0.65,1.21,147,10.5,16.0,9.0,English,,
South Korea,Doyou,SUPERFECT Esports,SPF,South Korea,7,Lurker,Viper,Yoru,Astra,13,182,187,74,0.97,1.36,201,14.0,14.3,5.6,Korean,,
Philippines,Dr1ch,Alternate Realities,AR,South Asia,7,Flash,Gekko,Raze,Killjoy,6,65,100,25,0.65,0.9,168,10.8,16.6,4.1,Filipino,English,
Philippines,DubsteP,Oasis Gaming,OAS,Philippines,3,Smoker,Omen,Brimstone,Sage,23,324,344,187,0.94,1.48,179,14.0,14.9,8.1,Filipino,English,
Vietnam,DucT,LAZY,LAZY,Vietnam,5,Lurker,Omen,Breach,Killjoy,13,161,191,91,0.84,1.31,175,12.3,14.6,7.0,Vietnamese,,
South Korea,Dynasty,Xu Gang,XG,Oceania,12,Recon,Sova,Deadlock,Fade,7,65,113,35,0.57,0.88,147,9.2,16.1,5.0,English,Korean,
Thailand,EARTHYRABYRABO,Barn nong chok,BNC,Thailand,7,Recon,Skye,Fade,Breach,15,162,223,126,0.72,1.29,157,10.8,14.8,8.4,Thai,,
South Korea,Efina,IAM,IAM,South Korea,5,Anchor,Killjoy,Harbor,Cypher,21,296,316,97,0.93,1.24,191,14.0,15.0,4.6,Korean,,
Philippines,Emman,NAOS Esports,NAOS,Philippines,1,Flash,Gekko,Skye,Fade,28,402,405,189,0.99,1.45,188,14.3,14.4,6.7,Filipino,English,
Malaysia,Ender,Kizuna Esports,KZ,Malaysia and Singapore,5,Entry,Raze,Jett,Sage,10,134,171,36,0.78,0.99,191,13.4,17.1,3.6,English,Malay,
South Korea,Esperanza,Northeption,NTH,Japan,8,Flash,Skye,Cypher,Gekko,17,268,260,70,1.03,1.3,212,15.7,15.2,4.1,Japanese,Korean,
Afghanistan,Esuh,Peace & Love,PL,Oceania,9,Flash,Killjoy,Skye,Gekko,5,65,72,37,0.9,1.41,199,13.0,14.4,7.4,English,Persian,Pashto
Taiwan,Ethan1,PAPA Esports,PAPA,Hong Kong and Taiwan,5,Anchor,Killjoy,Cypher,Reyna,22,297,321,79,0.92,1.17,194,13.5,14.5,3.5,Mandarin,,
India,Excali,Medal Esports,MDL,South Asia,5,Lurker,Killjoy,Omen,Gekko,7,95,104,50,0.91,1.39,212,13.5,14.8,7.1,Hindi,English,
Australia,Exirst,BOBO,BOBO,Oceania,5,Entry,Jett,Raze,Iso,15,234,225,61,1.04,1.31,221,15.6,15.0,4.0,English,,
New Zealand,FETA,ARENA Internet Cafe,AIC,Oceania,2,Entry,Jett,Raze,Neon,18,329,260,57,1.26,1.48,247,18.2,14.4,3.1,English,Maori,
Philippines,FallX,OLD STINKY CAT,MEOW,Philippines,5,Entry,Raze,Jett,Clove,16,280,253,59,1.1,1.33,243,17.5,15.8,3.6,Filipino,English,
South Korea,Felix,SUPERFECT Esports,SPF,South Korea,7,Recon,Skye,Fade,KAY/O,16,223,224,103,0.99,1.45,202,13.9,14.0,6.4,Korean,,
Malaysia,Fixy,Reve Drift Arena,RDA,Malaysia and Singapore,2,Entry,Raze,Jett,Chamber,32,571,559,135,1.02,1.26,221,17.8,17.4,4.2,English,Malay,
France,Flaring,Elevate (American team),ELV,Malaysia and Singapore,3,Smoker,Omen,Brimstone,Viper,26,365,375,237,0.97,1.6,191,14.0,14.4,9.1,English,Malay,French
Thailand,Flukyy,Barn nong chok,BNC,Thailand,7,Smoker,Omen,Jett,Brimstone,14,219,211,103,1.03,1.52,214,15.6,15.0,7.3,Thai,,
Indonesia,Flynch,THE HERO DETA,THD,Indonesia,5,Entry,Jett,Raze,Skye,24,359,355,81,1.01,1.23,213,14.9,14.7,3.3,Indonesian,,
Philippines,Foods,Subversive,SVR,Philippines,10,Entry,Raze,Jett,Yoru,17,212,283,52,0.74,0.93,192,12.4,16.6,3.0,Filipino,English,
South Korea,Francis,Sin Prisa Gaming,SPG,South Korea,1,Recon,Fade,Skye,Yoru,27,383,395,222,0.96,1.53,188,14.1,14.6,8.2,Korean,,
South Korea,Freeing,Dplus,DK,South Korea,3,Anchor,Killjoy,Cypher,Viper,25,439,357,101,1.22,1.51,223,17.5,14.2,4.0,Korean,,
Hong Kong,GGHuiii,Oblivion Force,OF,Hong Kong and Taiwan,1,Flex,Chamber,,,1,32,22,7,1.45,1.77,255,32.0,22.0,7.0,Mandarin,Cantonese,English
Japan,GON,FENNEL,FL,Japan,2,Smoker,Omen,Brimstone,Harbor,30,431,429,239,1.0,1.56,184,14.3,14.3,7.9,Japanese,,
Philippines,GabbyDiz,Rank El Cuties,QT,Philippines,8,Smoker,Omen,Viper,KAY/O,13,179,197,103,0.9,1.43,180,13.7,15.1,7.9,Filipino,English,
South Korea,GangPin,REJECT,RC,Japan,7,Smoker,Viper,Omen,,18,274,261,147,1.04,1.61,191,15.2,14.5,8.1,Japanese,Korean,
Thailand,GarnetS,Team NKT,NKT,Thailand,5,Entry,Jett,Raze,Reyna,17,261,235,49,1.11,1.31,222,15.3,13.8,2.8,Thai,,
India,GauRanG,True Rippers Esports,TRS,South Asia,2,Smoker,Viper,Omen,,3,28,33,16,0.84,1.33,152,9.3,11.0,5.3,Hindi,English,
Vietnam,Gin,Fancy United Esports,FCY,Vietnam,2,Entry,Clove,Jett,Raze,12,193,173,29,1.11,1.28,232,16.0,14.4,2.4,Vietnamese,,
South Korea,GodDead,IAM,IAM,South Korea,5,Recon,Skye,Fade,KAY/O,21,300,325,186,0.92,1.49,185,14.2,15.4,8.8,Korean,,
South Korea,GodsB,VEC,VEC,South Korea,5,Flash,Breach,Killjoy,Raze,18,241,288,105,0.83,1.2,192,13.3,16.0,5.8,Korean,,
Philippines,Grooovy,Rank El Cuties,QT,Philippines,8,Recon,Sova,Viper,Fade,13,191,194,92,0.98,1.45,209,14.6,14.9,7.0,Filipino,English,
Taiwan,GunterR,Hungkuang Falcon,HKUF,Hong Kong and Taiwan,7,Smoker,Viper,Omen,Skye,15,225,245,114,0.91,1.38,193,15.0,16.3,7.6,Mandarin,,
South Korea,Gwangboong,Sengoku Gaming,SG,Japan,3,Entry,Raze,Jett,Yoru,23,437,366,75,1.19,1.39,242,19.0,15.9,3.2,Japanese,Korean,
South Korea,HANN,VEC,VEC,South Korea,5,Entry,Jett,Raze,Reyna,14,207,237,30,0.87,1.0,200,14.7,16.9,2.1,Korean,,
Japan,HaReeee,Northeption,NTH,Japan,8,Lurker,Omen,Killjoy,,9,116,140,42,0.82,1.12,156,12.8,15.5,4.6,Japanese,,
Japan,Hals,REJECT,RC,Japan,7,Anchor,Cypher,Killjoy,Jett,18,284,274,96,1.03,1.38,209,15.7,15.2,5.3,Japanese,,
South Korea,Hate,FearX,FOX,South Korea,8,Recon,Skye,Yoru,Sova,17,251,274,87,0.91,1.23,193,14.7,16.1,5.1,Korean,,
India,Hellff,True Rippers Esports,TRS,South Asia,2,Recon,Sova,Skye,KAY/O,18,283,246,122,1.15,1.64,225,15.7,13.6,6.7,Hindi,English,
South Korea,Hermes,Dplus,DK,South Korea,3,Recon,KAY/O,Omen,Sova,25,344,373,303,0.92,1.73,184,13.7,14.9,12.1,Korean,,
Philippines,Hirenkyaku,Subversive,SVR,Philippines,10,Anchor,Killjoy,Viper,Sova,17,181,278,51,0.65,0.83,161,10.6,16.3,3.0,Filipino,English,
India,Hoax,Velocity Gaming,VLT,South Asia,3,Flash,Sage,Breach,Gekko,17,225,248,137,0.9,1.45,175,13.2,14.5,8.0,Hindi,English,
Australia,Hxsh,iPGN,iPGN,Oceania,5,Anchor,Killjoy,Brimstone,,2,19,28,8,0.67,0.96,164,9.5,14.0,4.0,English,,
Vietnam,Hyuse,CyberKing Esports,CKE,Vietnam,4,Entry,Jett,Sova,Clove,15,234,228,56,1.02,1.27,233,15.6,15.2,3.7,Vietnamese,,
Vietnam,Hyzee,Team Big BAAM,BAAM,Vietnam,5,Anchor,Cypher,Killjoy,Breach,17,268,261,106,1.02,1.43,207,15.7,15.3,6.2,Vietnamese,,
Vietnam,IKANA,JFT Esports,JFT,Oceania,1,Recon,Sova,Fade,Skye,24,367,296,170,1.23,1.81,214,15.2,12.3,7.0,English,Vietnamese,
Indonesia,Iceyyy,DIS Esports,DIS,Indonesia,7,Entry,Raze,Jett,,7,110,110,20,1.0,1.18,221,15.7,15.7,2.8,Indonesian,,
Philippines,Ichisolo,Carti World,CW,Philippines,5,Anchor,Killjoy,Cypher,Sova,22,326,325,121,1.0,1.37,199,14.8,14.7,5.5,Filipino,English,
Singapore,Impecunity,NEXGA,NXGA,Malaysia and Singapore,5,Anchor,Killjoy,Cypher,Viper,19,298,269,61,1.1,1.33,208,15.6,14.1,3.2,English,Malay,Mandarin
Singapore,Interline,Ninjas in Galaxy,NG,Malaysia and Singapore,7,Entry,Reyna,Jett,Cypher,4,50,67,20,0.74,1.04,174,12.5,16.7,5.0,English,Malay,Mandarin
Thailand,Itaoearth,XOXO-01,XOXO,Thailand,8,Recon,Cypher,Fade,Skye,15,174,221,77,0.78,1.13,162,11.6,14.7,5.1,Thai,,
South Korea,Ivy,Sin Prisa Gaming,SPG,South Korea,1,Anchor,Deadlock,Sova,Gekko,27,396,337,187,1.17,1.72,191,14.6,12.4,6.9,Korean,,
Philippines,JA,NAOS Esports,NAOS,Philippines,1,Anchor,Cypher,Killjoy,Chamber,28,539,402,124,1.34,1.64,246,19.2,14.3,4.4,Filipino,English,
Thailand,JAIGRAYRAY,Team NKT,NKT,Thailand,5,Smoker,Viper,Brimstone,Omen,17,241,237,106,1.01,1.46,201,14.1,13.9,6.2,Thai,,
Australia,JAWSY,Rub n' Pug,RNP,Oceania,7,Smoker,Omen,Astra,Viper,14,222,221,111,1.0,1.5,202,15.8,15.7,7.9,English,,
Philippines,Jacobbb,Rank El Cuties,QT,Philippines,8,Anchor,Killjoy,Cypher,Reyna,13,193,203,45,0.95,1.17,199,14.8,15.6,3.4,Filipino,English,
South Korea,JaebiN,SLT,SLT,South Korea,4,Entry,Raze,Jett,Neon,23,402,373,117,1.07,1.39,232,17.4,16.2,5.0,Korean,,
Indonesia,Jefz,Cynical,CNL,Indonesia,5,Entry,Raze,Jett,,17,249,261,76,0.95,1.24,219,14.6,15.3,4.4,Indonesian,,
South Korea,Jeong Hi,FearX,FOX,South Korea,8,Smoker,Omen,Astra,Skye,17,223,266,144,0.83,1.37,183,13.1,15.6,8.4,Korean,,
South Korea,Jerry,Sin Prisa Gaming,SPG,South Korea,1,Smoker,Viper,,,1,11,25,6,0.44,0.68,108,11.0,25.0,6.0,Korean,,
International,JiYn,Wolf Pack,WP,Oceania,12,Anchor,Gekko,Deadlock,Killjoy,7,107,110,37,0.97,1.3,201,15.2,15.7,5.2,English,,
South Korea,JinboongE,Sengoku Gaming,SG,Japan,3,Anchor,Killjoy,Cypher,Viper,23,372,355,109,1.04,1.35,210,16.1,15.4,4.7,Japanese,Korean,
South Korea,JoXJo,Riddle,RID,Japan,1,Flash,KAY/O,Skye,Breach,21,293,314,219,0.93,1.63,180,13.9,14.9,10.4,Japanese,Korean,
Thailand,JohnOlsen,FULL SENSE,FS,Thailand,1,Entry,Jett,Raze,Neon,11,185,177,47,1.04,1.31,241,16.8,16.0,4.2,Thai,,
Philippines,JoshS,Alternate Realities,AR,South Asia,7,Recon,Fade,KAY/O,Sova,6,79,96,54,0.82,1.38,203,13.1,16.0,9.0,Filipino,English,
Thailand,KRX,Sharper Esport,SPE,Thailand,4,Entry,Neon,KAY/O,,3,58,55,25,1.05,1.5,235,19.3,18.3,8.3,Thai,,
Thailand,Kadoom,Made in Thailand,MITH,Thailand,1,Entry,Raze,Jett,Neon,24,379,370,93,1.02,1.27,222,15.7,15.4,3.8,Thai,,
Singapore,Kairo,Kizuna Esports,KZ,Malaysia and Singapore,5,Flash,Breach,KAY/O,,3,46,53,37,0.86,1.56,206,15.3,17.6,12.3,English,Malay,Mandarin
Philippines,Kakarot,ZOL Esports,ZOL,Philippines,2,Entry,Raze,Jett,Neon,37,521,574,202,0.9,1.25,200,14.0,15.5,5.4,Filipino,English,
South Korea,Kally,SUPERFECT Esports,SPF,South Korea,7,Lurker,Cypher,Killjoy,Astra,15,230,201,71,1.14,1.49,214,15.3,13.4,4.7,Korean,,
India,Karam1L,Reckoning Esports,RGE,South Asia,5,Anchor,Killjoy,Cypher,Chamber,6,90,91,18,0.98,1.18,214,15.0,15.1,3.0,Hindi,English,
Philippines,KellyS,Oasis Gaming,OAS,Philippines,3,Flash,Raze,KAY/O,Breach,23,442,366,177,1.2,1.69,252,19.2,15.9,7.6,Filipino,English,
South Korea,Ken,SUPERFECT Esports,SPF,South Korea,7,Smoker,Raze,Brimstone,Viper,9,94,136,31,0.69,0.91,172,10.4,15.1,3.4,Korean,,
Singapore,Kenji,LaZe,LZE,Malaysia and Singapore,4,Anchor,Cypher,Killjoy,Brimstone,25,329,359,114,0.91,1.23,170,13.1,14.3,4.5,English,Malay,Mandarin
Taiwan,KiN0,ONE Team,ONE,Hong Kong and Taiwan,2,Smoker,Brimstone,Viper,,4,59,64,27,0.92,1.34,177,14.7,16.0,6.7,Mandarin,,
India,Kibojn,Medal Esports,MDL,South Asia,5,Flash,KAY/O,Gekko,Breach,7,97,91,51,1.06,1.62,197,13.8,13.0,7.2,Hindi,English,
Vietnam,KillerS,Team Flash,FPT,Vietnam,3,Entry,Raze,Skye,Neon,15,235,194,100,1.21,1.72,229,15.6,12.9,6.6,Vietnamese,,
Australia,Kiseki,Peace & Love,PL,Oceania,9,Entry,Neon,Reyna,,12,232,199,47,1.16,1.4,229,19.3,16.5,3.9,English,,
