country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Turkey,Turkey,Turkish,,,AsLanM4shadoW,Smoker,FALSE,7th,S2G Esports,S2G,Omen,Jett,Brimstone,5,74,84,27,0.88,1.2,203,14.8,16.8,5.4
Denmark,North EMEA,Danish,English,,AvovA,Smoker,FALSE,1st,Apeks,APK,Omen,Viper,Brimstone,22,319,251,156,1.27,1.89,203,14.5,11.4,7
Saudi Arabia,GCC and Iraq,Arabic,,,Avvix,Support,FALSE,4th,The Ultimates,TU,Sova,Killjoy,Gekko,32,490,442,201,1.1,1.56,205,15.3,13.8,6.2
Slovakia,Italy,Italian,Slovak,,Ayyzicle,Support,FALSE,6th,LONETEAM,LONE,Gekko,Breach,Killjoy,14,169,194,78,0.87,1.27,163,12,13.8,5.5
Russia,EMEA Playins,Russian,,,B1SK,Flex,FALSE,2nd,KPI Gaming,KPI,Jett,Chamber,Sova,10,167,136,24,1.22,1.4,213,16.7,13.6,2.4
Germany,DACH,German,,,B3ASTM0D3,Smoker,FALSE,10th,Ovation eSports,OVA,Omen,Viper,Brimstone,21,248,299,99,0.82,1.16,166,11.8,14.2,4.7
Turkey,Italy,Italian,Turkish,,BALLI,Support,FALSE,4th,HGE Esports,HE,Sova,KAY/O,Clove,17,301,243,106,1.23,1.67,240,17.7,14.2,6.2
Egypt,Levant and North Africa,Arabic,,,BLACK,Smoker,FALSE,6th,Team Occupy,OPY,Omen,Reyna,Viper,31,415,466,179,0.89,1.27,180,13.3,15,5.7
Poland,East EMEA,Polish,,,BULD,Support,FALSE,1st,GoNext Esports,GN,Sage,Breach,Sova,31,423,395,228,1.07,1.64,189,13.6,12.7,7.3
France,France,French,,,Babax,Smoker,FALSE,3rd,ZERANCE,ZER,Omen,Brimstone,Harbor,26,313,353,207,0.88,1.47,170,12,13.5,7.9
Turkey,East EMEA,Turkish,,,Bard0lf,Smoker,FALSE,7th,NOM Esports,NOM,Omen,Viper,,21,370,353,146,1.04,1.46,224,17.6,16.8,6.9
Germany,EMEA Playins,German,,,BennY,Flex,TRUE,1st,CGN Esports,CGN,Phoenix,Gekko,,10,117,125,48,0.93,1.32,156,11.7,12.5,4.8
Russia,Levant and North Africa,Russian,,,Bgg,Smoker,FALSE,1st,R8 Esports,R8,Omen,Viper,Brimstone,40,533,515,250,1.03,1.52,183,13.3,12.8,6.2
Egypt,Levant and North Africa,Arabic,,,Block,Support,FALSE,5th,Gamax Esports,GMX,Breach,KAY/O,Fade,20,191,275,192,0.69,1.39,129,9.5,13.7,9.6
Netherlands,Italy,Italian,Dutch,,Bouncy,Entry,FALSE,6th,LONETEAM,LONE,Raze,,,1,8,16,1,0.5,0.56,121,8,16,1
Syria,GCC and Iraq,Arabic,,,Br1ckzl,Entry,FALSE,8th,Vision Esports,VIS,Raze,Omen,Jett,4,61,63,18,0.96,1.25,215,15.2,15.7,4.5
Italy,Italy,Italian,,,Braso,Anchor,FALSE,4th,HGE Esports,HE,Killjoy,Chamber,Cypher,17,294,281,58,1.04,1.25,219,17.2,16.5,3.4
Italy,Italy,Italian,,,Brio,Support,FALSE,8th,Axolotl,AXL,Gekko,,,2,15,33,6,0.45,0.63,122,7.5,16.5,3
Italy,Italy,Italian,,,Browse,Anchor,FALSE,6th,LONETEAM,LONE,Killjoy,Cypher,Sage,13,192,192,42,1,1.21,202,14.7,14.7,3.2
Finland,North EMEA,Finnish,Swedish,,Brädi,Support,TRUE,8th,Apinaorkesteri,APE,Breach,Deadlock,KAY/O,19,222,308,157,0.72,1.23,157,11.6,16.2,8.2
United Kingdom,North EMEA,English,,,Bully,Smoker,FALSE,5th,NXT,NXT,Omen,Brimstone,Killjoy,20,262,300,182,0.87,1.48,180,13.1,15,9.1
Italy,Italy,Italian,,,Byron,Smoker,FALSE,4th,HGE Esports,HE,Omen,Viper,,17,249,225,151,1.1,1.77,194,14.6,13.2,8.8
Germany,DACH,German,,,CALVIN S,Smoker,FALSE,9th,XPERION NXT,NXT,Omen,Sova,Brimstone,20,276,330,124,0.83,1.21,171,13.8,16.5,6.2
Portugal,Portugal,Portuguese,Mirandese,,CORONEL,Smoker,FALSE,4th,Impulse Gaming Warriors,IGW,Omen,Viper,Brimstone,18,254,223,138,1.13,1.75,195,14.1,12.3,7.6
Brazil,Portugal,Portuguese,,,Caim,Entry,FALSE,5th,GTZ Esports,GTZ,Raze,Jett,,14,229,221,64,1.03,1.32,225,16.3,15.7,4.5
United Kingdom,Portugal,English,,,Cal,Flex,FALSE,5th,GTZ Esports,GTZ,Fade,Yoru,Brimstone,9,124,151,74,0.82,1.31,186,13.7,16.7,8.2
Turkey,Turkey,Turkish,,,Celasun,Anchor,FALSE,1st,Pcific Esports,PCF,Cypher,Killjoy,Gekko,34,464,482,137,0.96,1.24,178,13.6,14.1,4
Hungary,East EMEA,Hungarian,,,Chadi,Entry,FALSE,7th,NOM Esports,NOM,Raze,Jett,,23,416,366,66,1.13,1.31,227,18,15.9,2.8
United Kingdom,North EMEA,English,,,Chanformer,Smoker,FALSE,5th,NXT,NXT,Cypher,Viper,Astra,18,261,236,107,1.1,1.55,198,14.5,13.1,5.9
Norway,Italy,Italian,Norwegian,,Cintyx,Anchor,FALSE,8th,Axolotl,AXL,Killjoy,,,2,18,27,4,0.66,0.81,144,9,13.5,2
Germany,DACH,German,,,Click,Entry,FALSE,7th,SK Gaming,SK,Jett,Clove,Raze,20,394,344,54,1.14,1.3,243,19.7,17.2,2.7
Turkey,Turkey,Turkish,,,ComeBack,Entry,FALSE,1st,Pcific Esports,PCF,Jett,Raze,Chamber,34,642,547,106,1.17,1.36,257,18.8,16,3.1
Sweden,North EMEA,Swedish,,,Creamydreamy,Support,FALSE,2nd,SweetNSour,SNS,KAY/O,Fade,Skye,29,429,428,318,1,1.74,188,14.7,14.7,10.9
Turkey,Turkey,Turkish,,,Crewen,Anchor,FALSE,2nd,HOWL Esports,HOWL,Cypher,Killjoy,Viper,34,520,509,175,1.02,1.36,196,15.2,14.9,5.1
Portugal,Portugal,Portuguese,Mirandese,,Cunha20,Smoker,FALSE,1st,SAW,SAW,Omen,Viper,Brimstone,22,286,253,201,1.13,1.92,173,13,11.5,9.1
Turkey,Turkey,Turkish,,,CyderX,Support,FALSE,4th,Galatasaray Esports,GS,Sova,Gekko,Fade,27,330,383,168,0.86,1.3,151,12.2,14.1,6.2
France,France,French,,,CyvOph,Flex,FALSE,4th,Mandatory,MDR,Raze,Sage,KAY/O,15,262,224,101,1.16,1.62,240,17.4,14.9,6.7
Turkey,Turkey,Turkish,,,DESTRUCT1VEE,Smoker,FALSE,3rd,Galakticos,GAL,Omen,Viper,Cypher,35,512,528,214,0.96,1.37,184,14.6,15,6.1
Czechia,East EMEA,Czech,,,Danda,Smoker,FALSE,4th,trashcan,TR,Sova,Omen,Brimstone,34,445,477,242,0.93,1.44,181,13,14,7.1
Saudi Arabia,GCC and Iraq,Arabic,,,Dane,Support,FALSE,6th,Twisted Minds,TWIS,KAY/O,Skye,Sova,36,559,586,257,0.95,1.39,203,15.5,16.2,7.1
Spain,Spain,Spanish,,,Daniel0,Anchor,FALSE,4th,Ramboot Club,RBT,Killjoy,,,2,20,35,5,0.57,0.71,133,10,17.5,2.5
France,France,French,,,DarkLight,Smoker,FALSE,7th,Solary,SLY,Omen,Viper,Brimstone,19,265,309,152,0.85,1.34,176,13.9,16.2,8
Egypt,Levant and North Africa,Arabic,,,Darwin,Support,FALSE,7th,top gz,TOPG,Sova,Fade,Gekko,22,236,343,122,0.68,1.04,163,10.7,15.5,5.5
Germany,DACH,German,,,Daveeski,Anchor,FALSE,8th,Permitta Unicorns,PXU,Killjoy,Breach,Cypher,20,285,337,117,0.84,1.19,194,14.2,16.8,5.8
Portugal,EMEA Playins,Portuguese,Mirandese,,DaviH,Flex,FALSE,1st,CGN Esports,CGN,Sova,Deadlock,,10,134,115,74,1.16,1.8,189,13.4,11.5,7.4
Italy,Italy,Italian,,,Davia,Entry,FALSE,5th,VX300 Gaming,VX3,Raze,,,1,19,16,6,1.18,1.56,267,19,16,6
Saudi Arabia,GCC and Iraq,Arabic,,,Dazlly,Anchor,FALSE,8th,Vision Esports,VIS,Cypher,Killjoy,Deadlock,21,299,335,84,0.89,1.14,202,14.2,15.9,4
Turkey,Turkey,Turkish,,,DeadInk,Entry,FALSE,10th,Fenerbahçe Esports,FB,Jett,Raze,Gekko,21,285,340,69,0.83,1.04,194,13.5,16.1,3.2
Sweden,North EMEA,Swedish,,,Demiurge,Entry,FALSE,7th,Formulation Gaming,FMG,Raze,Neon,Jett,17,297,289,74,1.02,1.28,233,17.4,17,4.3
Egypt,Levant and North Africa,Arabic,,,Depyro,Support,FALSE,2nd,Team RA'AD,RAAD,Sage,Skye,Breach,37,554,523,328,1.05,1.68,205,14.9,14.1,8.8
United Kingdom,North EMEA,English,,,Deqadz,Smoker,FALSE,3rd,Requiem,RQM,Omen,Viper,Harbor,28,393,409,221,0.96,1.5,192,14,14.6,7.8
United Kingdom,North EMEA,English,,,Dev0,Entry,FALSE,5th,NXT,NXT,Raze,Jett,KAY/O,20,325,314,112,1.03,1.39,219,16.2,15.7,5.6
Slovakia,Portugal,Slovak,,,Dext,Smoker,FALSE,3rd,Ex0Tik Gaming,EX0,Killjoy,Omen,Viper,21,268,307,77,0.87,1.12,185,12.7,14.6,3.6
Turkey,Turkey,Turkish,,,Docent,Smoker,FALSE,4th,Galatasaray Esports,GS,Omen,Viper,Astra,27,430,427,223,1,1.52,204,15.9,15.8,8.2
Italy,Italy,Italian,,,DrastZ,Flex,FALSE,5th,VX300 Gaming,VX3,KAY/O,Omen,Sage,13,179,179,99,1,1.55,202,13.7,13.7,7.6
Ireland,North EMEA,English,,,Drog,Anchor,FALSE,8th,Apinaorkesteri,APE,Cypher,Sova,Killjoy,19,277,303,62,0.91,1.11,183,14.5,15.9,3.2
Portugal,Portugal,Portuguese,Mirandese,,DroperZ,Flex,FALSE,7th,FUZOS,FUZO,Skye,Killjoy,,2,35,38,10,0.92,1.18,188,17.5,19,5
Spain,Levant and North Africa,Spanish,,,Ease,Support,FALSE,4th,Onyx Ravens,OXR,Sage,Breach,Skye,33,452,446,299,1.01,1.68,179,13.6,13.5,9
United Arab Emirates,GCC and Iraq,Arabic,,,Ebeeee,Smoker,FALSE,5th,Fraggerz,FRG,Omen,Viper,,28,340,415,194,0.81,1.28,164,12.1,14.8,6.9
Russia,Portugal,Russian,,,Edelweiss,Support,FALSE,7th,FUZOS,FUZO,Gekko,KAY/O,Fade,3,25,48,18,0.52,0.89,131,8.3,16,6
Egypt,Levant and North Africa,Arabic,,,Electus,Support,FALSE,6th,Team Occupy,OPY,Skye,Sova,,31,349,458,170,0.76,1.13,160,11.2,14.7,5.4
Saudi Arabia,GCC and Iraq,Arabic,,,Elixllo,Anchor,FALSE,4th,The Ultimates,TU,Viper,Cypher,Killjoy,35,482,503,162,0.95,1.28,183,13.7,14.3,4.6
Bulgaria,Levant and North Africa,Bulgarian,,,Eso177,Anchor,FALSE,4th,Onyx Ravens,OXR,Killjoy,Cypher,Chamber,33,557,439,132,1.26,1.56,225,16.8,13.3,4
Saudi Arabia,GCC and Iraq,Arabic,,,ExiT,Entry,FALSE,6th,Twisted Minds,TWIS,Jett,Raze,Killjoy,36,595,548,150,1.08,1.35,221,16.5,15.2,4.1
Finland,Spain,Spanish,Finnish,Swedish,Famsii,Entry,FALSE,2nd,UCAM Esports Club,UCAM,Raze,Neon,Jett,21,377,302,109,1.24,1.6,266,17.9,14.3,5.1
Ireland,North EMEA,English,,,Famzzam,Support,FALSE,2nd,SweetNSour,SNS,Gekko,Viper,Sova,29,393,434,225,0.9,1.42,177,13.5,14.9,7.7
Spain,Spain,Spanish,,,Faska,Support,FALSE,7th,ZETA (Spanish team),ZETA,Cypher,Skye,Sova,14,158,209,51,0.75,1,161,11.2,14.9,3.6
Finland,North EMEA,Finnish,Swedish,,Feeqn,Anchor,FALSE,4th,OnlyFins,OF,Killjoy,Cypher,Brimstone,27,368,375,116,0.98,1.29,188,13.6,13.8,4.2
Germany,DACH,German,,,Felix,Support,FALSE,7th,SK Gaming,SK,Gekko,Sova,Fade,20,286,297,143,0.96,1.44,195,14.3,14.8,7.1
Saudi Arabia,GCC and Iraq,Arabic,,,Fighter,Entry,FALSE,4th,The Ultimates,TU,Raze,Jett,Omen,35,564,561,173,1,1.31,216,16.1,16,4.9
Poland,Italy,Italian,Polish,,Filu,Entry,FALSE,1st,DSYRE,DSY,Jett,Raze,Neon,19,383,257,67,1.49,1.75,274,20.1,13.5,3.5
Portugal,DACH,Portuguese,Mirandese,,Fizzy,Anchor,FALSE,1st,MOUZ,MOUZ,Cypher,Viper,Killjoy,38,649,556,176,1.16,1.48,209,17,14.6,4.6
Belgium,Spain,Spanish,Dutch,French,Flickless,Support,FALSE,2nd,UCAM Esports Club,UCAM,Breach,Brimstone,KAY/O,21,280,237,229,1.18,2.14,193,13.3,11.2,10.9
United Kingdom,France,French,English,,FoxieGG,Support,FALSE,8th,DVM,DVM,Fade,Sova,Skye,19,226,281,114,0.8,1.2,172,11.8,14.7,6
Saudi Arabia,GCC and Iraq,Arabic,,,Fr4nky,Support,FALSE,6th,Twisted Minds,TWIS,Sova,Harbor,Gekko,16,205,232,108,0.88,1.34,182,12.8,14.5,6.7
Portugal,Portugal,Portuguese,Mirandese,,Fragger,Support,FALSE,1st,SAW,SAW,KAY/O,Sage,Skye,22,336,291,208,1.15,1.86,220,15.2,13.2,9.4
Italy,Italy,Italian,,,FrancyBald,Smoker,FALSE,6th,LONETEAM,LONE,Omen,Viper,,14,140,229,87,0.61,0.99,142,10,16.3,6.2
Poland,East EMEA,Polish,,,Freyy,Smoker,FALSE,8th,Zero Tenacity,Z10,Omen,Astra,Brimstone,19,320,283,114,1.13,1.53,216,16.8,14.8,6
Germany,DACH,German,,,GENETICZZ,Anchor,FALSE,8th,Permitta Unicorns,PXU,Cypher,Killjoy,Clove,8,104,123,15,0.84,0.96,185,13,15.3,1.8
Kuwait,GCC and Iraq,Arabic,,,GLiMPSE,Smoker,FALSE,2nd,Unity Esports,UNT,Omen,Cypher,Brimstone,10,177,149,51,1.18,1.53,230,17.7,14.9,5.1
Egypt,Levant and North Africa,Arabic,,,Getoxic,Support,FALSE,6th,Team Occupy,OPY,Breach,Brimstone,KAY/O,29,313,420,260,0.74,1.36,158,10.7,14.4,8.9
Turkey,Turkey,Turkish,,,Gloomy,Support,FALSE,2nd,HOWL Esports,HOWL,Gekko,Viper,Sova,34,391,487,251,0.8,1.31,160,11.5,14.3,7.3
France,France,French,,,Goaster,Entry,FALSE,4th,Mandatory,MDR,Raze,Jett,Yoru,18,300,281,83,1.06,1.36,234,16.6,15.6,4.6
Portugal,Portugal,Portuguese,Mirandese,,GrTw,Anchor,FALSE,1st,SAW,SAW,Killjoy,Cypher,Viper,22,367,257,113,1.42,1.86,232,16.6,11.6,5.1
Slovenia,East EMEA,Slovenian,,,Grmekista,Anchor,FALSE,2nd,Diamant Esports,DIA,Astra,Killjoy,Deadlock,39,537,530,260,1.01,1.5,187,13.7,13.5,6.6
Spain,Spain,Spanish,,,Guardy,Support,FALSE,1st,Barça eSports,BAR,Skye,Gekko,KAY/O,24,358,327,169,1.09,1.61,202,14.9,13.6,7
Egypt,Levant and North Africa,Arabic,,,Gunner,Anchor,FALSE,7th,top gz,TOPG,Killjoy,Cypher,,22,268,317,66,0.84,1.05,171,12.1,14.4,3
Portugal,Portugal,Portuguese,Mirandese,,H4te,Smoker,FALSE,5th,GTZ Esports,GTZ,Omen,Viper,,14,205,204,91,1,1.45,184,14.6,14.5,6.5
Russia,Levant and North Africa,Russian,,,HEMMORJAY,Entry,FALSE,8th,Skulls Esports,SKUL,Jett,Raze,Chamber,24,229,373,69,0.61,0.79,152,9.5,15.5,2.8
Germany,DACH,German,,,Happen,Support,FALSE,8th,Permitta Unicorns,PXU,Fade,Sova,Gekko,12,199,186,89,1.06,1.54,200,16.5,15.5,7.4
Italy,North EMEA,Italian,,,HearthBeat,Smoker,FALSE,2nd,SweetNSour,SNS,Omen,Viper,Brimstone,26,360,391,235,0.92,1.52,179,13.8,15,9
France,Portugal,French,,,Hiiro,Anchor,FALSE,5th,GTZ Esports,GTZ,Cypher,,,14,220,213,69,1.03,1.35,198,15.7,15.2,4.9
Czechia,East EMEA,Czech,,,Hitch,Support,FALSE,10th,ESC Gaming,ESC,KAY/O,Breach,Brimstone,22,288,372,265,0.77,1.48,182,13,16.9,12
Portugal,Portugal,Portuguese,Mirandese,,HolyM0Ly,Anchor,FALSE,3rd,Ex0Tik Gaming,EX0,Killjoy,,,2,33,33,9,1,1.27,219,16.5,16.5,4.5
France,France,French,,,HyP,Support,TRUE,4th,Mandatory,MDR,Gekko,Sova,Fade,26,313,339,160,0.92,1.39,161,12,13,6.1
Italy,Italy,Italian,,,Infamous,Smoker,FALSE,7th,RTZN,RTZN,Omen,,,1,6,17,5,0.35,0.64,127,6,17,5
Russia,Italy,Italian,Russian,,Ivan4ezz,Support,FALSE,5th,VX300 Gaming,VX3,Gekko,Skye,Sova,13,159,173,74,0.91,1.34,183,12.2,13.3,5.6
Turkey,Turkey,Turkish,,,Izzy,Entry,FALSE,6th,SuperMassive Esports,SUP,Raze,Neon,Jett,29,609,432,118,1.4,1.68,272,21,14.8,4
Russia,Levant and North Africa,Russian,,,JAMTER,Support,FALSE,7th,top gz,TOPG,Sova,Gekko,Fade,5,58,67,19,0.86,1.14,178,11.6,13.4,3.8
Spain,Spain,Spanish,,,JKG,Smoker,FALSE,8th,Imperium Gaming,IMP,Omen,Viper,,4,57,60,25,0.95,1.36,176,14.2,15,6.2
Turkey,Turkey,Turkish,,,JN3v1cEEE,Smoker,FALSE,9th,Eternal Fire,EF,Omen,Viper,Astra,20,255,303,154,0.84,1.34,182,12.7,15.1,7.7
Russia,France,French,Russian,,Jady,Anchor,FALSE,3rd,ZERANCE,ZER,Cypher,Viper,Killjoy,26,394,353,127,1.11,1.47,209,15.1,13.5,4.8
United Kingdom,North EMEA,English,,,Jaf,Smoker,FALSE,7th,Formulation Gaming,FMG,Omen,Brimstone,Viper,17,220,268,111,0.82,1.23,164,12.9,15.7,6.5
Ukraine,Italy,Italian,Ukrainian,,Javelin,Entry,FALSE,6th,LONETEAM,LONE,Raze,Jett,Reyna,12,211,192,39,1.09,1.3,252,17.5,16,3.2
Finland,North EMEA,Finnish,Swedish,,Jesmu,Support,FALSE,4th,OnlyFins,OF,Gekko,Sova,Fade,27,381,398,158,0.95,1.35,194,14.1,14.7,5.8
Czechia,France,French,Czech,,Jesse,Smoker,FALSE,2nd,Valiant,VLNT,Omen,Viper,,25,438,359,189,1.22,1.74,223,17.5,14.3,7.5
Netherlands,Italy,Italian,Dutch,,JimBk,Flex,FALSE,6th,LONETEAM,LONE,Sova,Neon,,14,197,215,86,0.91,1.31,207,14,15.3,6.1
Spain,Spain,Spanish,,,Jolpi,Smoker,FALSE,7th,ZETA (Spanish team),ZETA,Omen,,,4,57,59,24,0.96,1.37,202,14.2,14.7,6
Turkey,Turkey,Turkish,,,JrayN,Support,FALSE,10th,Fenerbahçe Esports,FB,KAY/O,Sova,Deadlock,21,309,295,126,1.04,1.47,202,14.7,14,6
Saudi Arabia,GCC and Iraq,Arabic,,,KHaaLiD,Support,TRUE,1st,Team Falcons,FLC,Breach,Omen,Sova,33,457,403,254,1.13,1.76,193,13.8,12.2,7.6
Portugal,Portugal,Portuguese,Mirandese,,KILLDREAMST,Smoker,FALSE,2nd,PPP,PPP,Omen,Viper,Iso,24,368,310,173,1.18,1.74,227,15.3,12.9,7.2
Denmark,Spain,Spanish,Danish,English,KPZET,Smoker,FALSE,1st,Barça eSports,BAR,Viper,Omen,Clove,24,370,326,163,1.13,1.63,213,15.4,13.5,6.7
Turkey,Turkey,Turkish,,,KROSTALY,Entry,FALSE,9th,Eternal Fire,EF,Jett,Raze,Breach,21,315,330,94,0.95,1.23,199,15,15.7,4.4
Lithuania,East EMEA,Lithuanian,,,Kajuks,Smoker,FALSE,6th,B8 Esports,B8,Omen,Breach,Viper,27,425,412,212,1.03,1.54,207,15.7,15.2,7.8
Finland,North EMEA,Finnish,Swedish,,Kalkkuna,Entry,FALSE,8th,Apinaorkesteri,APE,Jett,Raze,Yoru,15,236,250,50,0.94,1.14,215,15.7,16.6,3.3
Poland,Spain,Spanish,Polish,,Kamisseq,Flex,FALSE,4th,Ramboot Club,RBT,Omen,Sova,,21,344,309,136,1.11,1.55,204,16.3,14.7,6.4
Algeria,Levant and North Africa,Arabic,French,,Kaqnn,Smoker,FALSE,8th,Skulls Esports,SKUL,Cypher,Viper,Omen,24,249,369,79,0.67,0.88,154,10.3,15.3,3.2
Germany,DACH,German,,,Karma,Anchor,FALSE,5th,ALTERNATE aTTaX,ATN,Killjoy,Cypher,Deadlock,16,226,212,53,1.06,1.31,191,14.1,13.2,3.3
Poland,Spain,Spanish,Polish,,Katu,Support,FALSE,4th,Ramboot Club,RBT,Skye,Gekko,Phoenix,21,330,319,144,1.03,1.48,210,15.7,15.1,6.8
Portugal,Portugal,Portuguese,Mirandese,,Kayn,Support,FALSE,5th,GTZ Esports,GTZ,Breach,Sova,,14,176,219,120,0.8,1.35,164,12.5,15.6,8.5
Portugal,Portugal,Portuguese,Mirandese,,KenzmPs,Support,FALSE,8th,FTW LEÇA FC,FXL,Sova,Gekko,Fade,14,181,225,86,0.8,1.18,171,12.9,16,6.1
Algeria,Levant and North Africa,Arabic,French,,Kheops,Smoker,FALSE,4th,Onyx Ravens,OXR,Omen,Viper,Brimstone,33,425,485,250,0.87,1.39,174,12.8,14.6,7.5
Ukraine,EMEA Playins,Ukrainian,,,Kiles,Support,FALSE,2nd,KPI Gaming,KPI,Fade,Breach,Viper,10,117,127,80,0.92,1.55,155,11.7,12.7,8
France,France,French,,,Killu,Anchor,FALSE,6th,Akroma,AKR,Viper,Deadlock,Cypher,18,307,270,94,1.13,1.48,217,17,15,5.2
Saudi Arabia,GCC and Iraq,Arabic,,,King,Flex,FALSE,7th,Dragons Esports,DRGN,Viper,Sova,,19,277,298,110,0.92,1.29,207,14.5,15.6,5.7
Belgium,France,French,Dutch,German,Kinguyen,Entry,FALSE,7th,Solary,SLY,Jett,Raze,Yoru,19,337,326,82,1.03,1.28,221,17.7,17.1,4.3
Germany,DACH,German,,,Kirby,Anchor,FALSE,6th,DIVIZON,DIV,Cypher,Killjoy,,2,23,31,9,0.74,1.03,139,11.5,15.5,4.5
Austria,DACH,German,,,Kongi,Anchor,FALSE,9th,XPERION NXT,NXT,Viper,Killjoy,Cypher,20,298,321,116,0.92,1.28,189,14.9,16,5.8
Spain,Spain,Spanish,,,Kotaro,Anchor,FALSE,8th,Imperium Gaming,IMP,Killjoy,Viper,Cypher,14,165,225,46,0.73,0.93,164,11.7,16,3.2
Poland,East EMEA,Polish,,,Kozok,Smoker,FALSE,6th,B8 Esports,B8,Cypher,Omen,Viper,20,306,284,124,1.07,1.51,204,15.3,14.2,6.2
Poland,East EMEA,Polish,,,Krizz,Entry,FALSE,8th,Zero Tenacity,Z10,Jett,Raze,Cypher,22,297,351,79,0.84,1.07,175,13.5,15.9,3.5
Qatar,GCC and Iraq,Arabic,,,Kugio,Support,FALSE,4th,The Ultimates,TU,KAY/O,Fade,Raze,32,486,468,246,1.03,1.56,203,15.1,14.6,7.6
Saudi Arabia,GCC and Iraq,Arabic,,,Kuro,Anchor,FALSE,2nd,Unity Esports,UNT,Cypher,Killjoy,Viper,38,550,601,183,0.91,1.21,197,14.4,15.8,4.8
France,Portugal,French,,,KyLoU,Flex,FALSE,5th,GTZ Esports,GTZ,Sova,Brimstone,,5,80,82,34,0.97,1.39,215,16,16.4,6.8
